step,base-mem,mlu-mem,diff_abs,diff_relative,max_error_range,success
371,69898,69856,42,0.0006008755615325188,0.002,1
372,69898,69856,42,0.0006008755615325188,0.002,1
373,69898,69856,42,0.0006008755615325188,0.002,1
374,69898,69856,42,0.0006008755615325188,0.002,1
375,69898,69856,42,0.0006008755615325188,0.002,1
376,69898,69856,42,0.0006008755615325188,0.002,1
377,69898,69856,42,0.0006008755615325188,0.002,1
378,69898,69856,42,0.0006008755615325188,0.002,1
379,69898,69856,42,0.0006008755615325188,0.002,1
380,69898,69856,42,0.0006008755615325188,0.002,1
381,69898,69856,42,0.0006008755615325188,0.002,1
382,69898,69856,42,0.0006008755615325188,0.002,1
383,69898,69856,42,0.0006008755615325188,0.002,1
384,69898,69856,42,0.0006008755615325188,0.002,1
385,69898,69856,42,0.0006008755615325188,0.002,1
386,69898,69856,42,0.0006008755615325188,0.002,1
387,69898,69856,42,0.0006008755615325188,0.002,1
388,69898,69856,42,0.0006008755615325188,0.002,1
389,69898,69856,42,0.0006008755615325188,0.002,1
390,69898,69856,42,0.0006008755615325188,0.002,1
391,69898,69856,42,0.0006008755615325188,0.002,1
392,69898,69856,42,0.0006008755615325188,0.002,1
393,69898,69856,42,0.0006008755615325188,0.002,1
394,69898,69856,42,0.0006008755615325188,0.002,1
395,69898,69856,42,0.0006008755615325188,0.002,1
396,69898,69856,42,0.0006008755615325188,0.002,1
397,69898,69856,42,0.0006008755615325188,0.002,1
398,69898,69856,42,0.0006008755615325188,0.002,1
399,69898,69856,42,0.0006008755615325188,0.002,1
400,69898,69856,42,0.0006008755615325188,0.002,1
401,69898,69856,42,0.0006008755615325188,0.002,1
402,69898,69856,42,0.0006008755615325188,0.002,1
403,69898,69856,42,0.0006008755615325188,0.002,1
404,69898,69856,42,0.0006008755615325188,0.002,1
405,69898,69856,42,0.0006008755615325188,0.002,1
406,69898,69856,42,0.0006008755615325188,0.002,1
407,69898,69856,42,0.0006008755615325188,0.002,1
408,69898,69856,42,0.0006008755615325188,0.002,1
409,69898,69856,42,0.0006008755615325188,0.002,1
410,69898,69856,42,0.0006008755615325188,0.002,1
411,69898,69856,42,0.0006008755615325188,0.002,1
412,69898,69856,42,0.0006008755615325188,0.002,1
413,69898,69856,42,0.0006008755615325188,0.002,1
414,69898,69856,42,0.0006008755615325188,0.002,1
415,69898,69856,42,0.0006008755615325188,0.002,1
416,69898,69856,42,0.0006008755615325188,0.002,1
417,69898,69856,42,0.0006008755615325188,0.002,1
418,69898,69856,42,0.0006008755615325188,0.002,1
419,69898,69856,42,0.0006008755615325188,0.002,1
420,69898,69856,42,0.0006008755615325188,0.002,1
421,69898,69856,42,0.0006008755615325188,0.002,1
422,69898,69856,42,0.0006008755615325188,0.002,1
423,69898,69856,42,0.0006008755615325188,0.002,1
424,69898,69856,42,0.0006008755615325188,0.002,1
425,69898,69856,42,0.0006008755615325188,0.002,1
426,69898,69856,42,0.0006008755615325188,0.002,1
427,69898,69856,42,0.0006008755615325188,0.002,1
428,69898,69856,42,0.0006008755615325188,0.002,1
429,69898,69856,42,0.0006008755615325188,0.002,1
430,69898,69856,42,0.0006008755615325188,0.002,1
431,69898,69856,42,0.0006008755615325188,0.002,1
432,69898,69856,42,0.0006008755615325188,0.002,1
433,69898,69856,42,0.0006008755615325188,0.002,1
434,69898,69856,42,0.0006008755615325188,0.002,1
435,69898,69856,42,0.0006008755615325188,0.002,1
436,69898,69856,42,0.0006008755615325188,0.002,1
437,69898,69856,42,0.0006008755615325188,0.002,1
438,69898,69856,42,0.0006008755615325188,0.002,1
439,69898,69856,42,0.0006008755615325188,0.002,1
440,69898,69856,42,0.0006008755615325188,0.002,1
441,69898,69856,42,0.0006008755615325188,0.002,1
442,69898,69856,42,0.0006008755615325188,0.002,1
443,69898,69856,42,0.0006008755615325188,0.002,1
444,69898,69856,42,0.0006008755615325188,0.002,1
445,69898,69856,42,0.0006008755615325188,0.002,1
446,69898,69856,42,0.0006008755615325188,0.002,1
447,69898,69856,42,0.0006008755615325188,0.002,1
448,69898,69856,42,0.0006008755615325188,0.002,1
449,69898,69856,42,0.0006008755615325188,0.002,1
450,69898,69856,42,0.0006008755615325188,0.002,1
451,69898,69856,42,0.0006008755615325188,0.002,1
452,69898,69856,42,0.0006008755615325188,0.002,1
453,69898,69856,42,0.0006008755615325188,0.002,1
454,69898,69856,42,0.0006008755615325188,0.002,1
455,69898,69856,42,0.0006008755615325188,0.002,1
456,69898,69856,42,0.0006008755615325188,0.002,1
457,69898,69856,42,0.0006008755615325188,0.002,1
458,69898,69856,42,0.0006008755615325188,0.002,1
459,69898,69856,42,0.0006008755615325188,0.002,1
460,69898,69856,42,0.0006008755615325188,0.002,1
461,69898,69856,42,0.0006008755615325188,0.002,1
462,69898,69856,42,0.0006008755615325188,0.002,1
463,69898,69856,42,0.0006008755615325188,0.002,1
464,69898,69856,42,0.0006008755615325188,0.002,1
465,69898,69856,42,0.0006008755615325188,0.002,1
466,69898,69856,42,0.0006008755615325188,0.002,1
467,69898,69856,42,0.0006008755615325188,0.002,1
